_id,Produto,Categoria do Produto,Preço,Frete,Data da Compra,Vendedor,Local da compra,Avaliação da compra,Tipo de pagamento,Quantidade de parcelas,Latitude,Longitude
65cce385ddadb93e4611d6cd,Mesa de centro,moveis,282.22,12.6118050347,2021-01-01,João Souza,SP,3,boleto,1,-22.19,-48.79
65cce385ddadb93e4611d6dc,Bicicleta,esporte e lazer,836.66,45.438043164,2023-01-01,Larissa Alves,SP,5,cartao_credito,1,-22.19,-48.79
65cce385ddadb93e4611d6e7,Headset,eletronicos,340.22,15.7001305473,2021-02-01,Thiago Silva,SP,2,cupom,1,-22.19,-48.79
65cce385ddadb93e4611d6f0,Bicicleta,esporte e lazer,520.28,27.9864706964,2022-02-01,Rafael Costa,SP,5,cartao_credito,5,-22.19,-48.79
65cce385ddadb93e4611d6f7,Cômoda,moveis,417.02,19.7894995019,2023-02-01,Felipe Santos,PR,5,cartao_credito,2,-24.89,-51.55
65cce385ddadb93e4611d6fb,Modelagem preditiva,livros,70.49,1.337819504,2023-02-01,Isabella Pereira,PE,4,cupom,1,-8.38,-37.86
65cce385ddadb93e4611d708,Celular ABXY,eletronicos,1522.65,87.3184671407,2021-03-01,Juliana Costa,SP,1,cartao_credito,4,-22.19,-48.79
65cce385ddadb93e4611d714,Mesa de jantar,moveis,476.88,22.9768644188,2022-03-01,João Souza,MG,4,cartao_credito,10,-18.1,-44.38
65cce385ddadb93e4611d715,Ciência de dados com python,livros,50.51,10.2450858314,2022-03-01,Thiago Silva,MG,1,cartao_credito,6,-18.1,-44.38
65cce385ddadb93e4611d719,Modelagem preditiva,livros,71.64,1.3990535443,2023-03-01,Mariana Ferreira,SP,4,cartao_credito,2,-22.19,-48.79
65cce385ddadb93e4611d71a,Bateria,instrumentos musicais,535.83,26.1157745734,2023-03-01,Felipe Santos,MG,5,cartao_credito,8,-18.1,-44.38
65cce385ddadb93e4611d71b,Dashboards com Power BI,livros,43.35,3.2481049178,2023-03-01,Rafael Costa,BA,5,cartao_credito,2,-13.29,-41.71
65cce385ddadb93e4611d71d,Bicicleta,esporte e lazer,406.16,22.3138102573,2023-03-01,Bruno Rodrigues,PA,4,cartao_credito,6,-3.79,-52.48
65cce385ddadb93e4611d723,Assistente virtual,eletronicos,180.46,10.295964254,2021-04-01,Lucas Oliveira,PE,1,cartao_credito,4,-8.38,-37.86
65cce385ddadb93e4611d724,Boneca bebê,brinquedos,67.88,4.1406707791,2021-04-01,Mariana Ferreira,MG,5,cartao_credito,2,-18.1,-44.38
65cce385ddadb93e4611d72b,Iniciando em programação,livros,83.18,5.1160969115,2021-04-01,Isabella Pereira,SP,3,cartao_credito,4,-22.19,-48.79
65cce385ddadb93e4611d72c,Boneca bebê,brinquedos,51.2,3.2573504949,2021-04-01,Rafael Costa,SP,5,cartao_credito,1,-22.19,-48.79
65cce385ddadb93e4611d72f,Guarda roupas,moveis,666.47,33.0719615556,2022-04-01,Rafael Costa,MA,5,boleto,1,-5.42,-45.44
65cce385ddadb93e4611d730,Cômoda,moveis,331.48,15.2347518407,2022-04-01,Isabella Pereira,MG,5,cartao_credito,10,-18.1,-44.38
65cce385ddadb93e4611d73d,Celular Plus X42,eletronicos,2842.86,151.6568684382,2021-05-01,Bianca Santos,SP,4,cupom,1,-22.19,-48.79
65cce385ddadb93e4611d73e,Geladeira,eletrodomesticos,2405.84,129.5028576086,2021-05-01,Isabella Pereira,RJ,3,cartao_credito,2,-22.25,-42.66
65cce385ddadb93e4611d740,Ciência de dados com python,livros,58.61,4.0606540096,2021-05-01,Beatriz Moraes,PR,4,cartao_credito,1,-24.89,-51.55
65cce385ddadb93e4611d742,Tablet ABXY,eletronicos,1642.22,85.0277136057,2022-05-01,Lucas Oliveira,SP,4,cartao_credito,6,-22.19,-48.79
65cce385ddadb93e4611d748,Mochila,esporte e lazer,132.49,4.639132983,2022-05-01,Felipe Santos,BA,5,boleto,1,-13.29,-41.71
65cce385ddadb93e4611d749,Mesa de centro,moveis,277.62,15.0712066192,2022-05-01,Lucas Oliveira,SC,5,cartao_credito,1,-27.45,-50.95
65cce385ddadb93e4611d752,Boneca bebê,brinquedos,71.38,4.0895470723,2021-06-01,Camila Ribeiro,SP,3,cartao_credito,10,-22.19,-48.79
65cce385ddadb93e4611d75b,Cubo mágico 8x8,brinquedos,20.95,1.6466289991,2022-06-01,Isabella Pereira,PA,4,cartao_credito,10,-3.79,-52.48
65cce385ddadb93e4611d75f,Bola de vôlei,esporte e lazer,79.7,4.5269111389,2022-06-01,Bianca Santos,MG,5,cartao_credito,6,-18.1,-44.38
65cce385ddadb93e4611d765,Cubo mágico 8x8,brinquedos,12.83,2.0822742487,2022-06-01,Mariana Ferreira,SP,5,cartao_credito,7,-22.19,-48.79
65cce385ddadb93e4611d772,Geladeira,eletrodomesticos,3309.16,173.7872537772,2021-07-01,Mariana Ferreira,SC,1,cartao_credito,4,-27.45,-50.95
65cce385ddadb93e4611d776,Corda de pular,esporte e lazer,26.63,1.9490719113,2022-07-01,Thiago Silva,SP,5,cartao_credito,2,-22.19,-48.79
65cce385ddadb93e4611d777,Lava louças,eletrodomesticos,1567.6,84.0010885515,2022-07-01,Bruno Rodrigues,SP,1,cupom,1,-22.19,-48.79
65cce385ddadb93e4611d78a,Cama box,moveis,644.88,31.922359007,2021-08-01,Larissa Alves,TO,3,cartao_credito,5,-9.46,-48.26
65cce385ddadb93e4611d78d,Smartwatch,eletronicos,269.3,14.6225407456,2021-08-01,Juliana Costa,RJ,5,cartao_credito,5,-22.25,-42.66
65cce385ddadb93e4611d790,Lavadora de roupas,eletrodomesticos,1673.59,95.4932470308,2021-08-01,João Souza,SP,1,boleto,1,-22.19,-48.79
65cce385ddadb93e4611d793,Modelagem preditiva,livros,101.54,14.5010858917,2021-08-01,Rafael Costa,DF,3,cartao_credito,4,-15.83,-47.86
65cce385ddadb93e4611d795,Guitarra,instrumentos musicais,946.34,47.9741970936,2021-08-01,Felipe Santos,SP,2,cartao_credito,3,-22.19,-48.79
65cce385ddadb93e4611d796,Faqueiro,utilidades domesticas,72.62,1.4512355961,2021-08-01,João Souza,SP,5,cartao_credito,4,-22.19,-48.79
65cce385ddadb93e4611d797,Lava louças,eletrodomesticos,1604.75,85.9792142893,2021-08-01,Mariana Ferreira,SP,4,cartao_credito,1,-22.19,-48.79
65cce385ddadb93e4611d799,Smartwatch,eletronicos,237.47,14.2973574466,2022-08-01,Bruno Rodrigues,MG,5,cartao_credito,1,-18.1,-44.38
65cce385ddadb93e4611d7a3,Dinossauro Rex,brinquedos,20.73,1.3869360445,2022-08-01,Bruno Rodrigues,SP,5,boleto,1,-22.19,-48.79
65cce385ddadb93e4611d7b0,Celular ABXY,eletronicos,1763.75,94.4406464175,2021-09-01,Thiago Silva,SP,5,cartao_credito,8,-22.19,-48.79
65cce385ddadb93e4611d7b2,Poltrona,moveis,328.18,15.0590367685,2021-09-01,Lucas Oliveira,BA,5,cartao_credito,5,-13.29,-41.71
65cce385ddadb93e4611d7b3,Bicicleta,esporte e lazer,852.68,42.9870838607,2021-09-01,Felipe Santos,SP,5,cartao_credito,3,-22.19,-48.79
65cce385ddadb93e4611d7b5,TV Led UHD 4K,eletronicos,3655.0,194.9008801932,2021-09-01,Felipe Santos,SP,5,cartao_credito,8,-22.19,-48.79
65cce385ddadb93e4611d7b8,Celular ABXY,eletronicos,1200.6,64.2114640192,2022-09-01,Camila Ribeiro,SP,5,cupom,1,-22.19,-48.79
65cce385ddadb93e4611d7be,Guitarra,instrumentos musicais,1231.88,71.8358393943,2021-10-01,Camila Ribeiro,MA,5,cartao_credito,10,-5.42,-45.44
65cce385ddadb93e4611d7bf,Lavadora de roupas,eletrodomesticos,1709.15,88.5915347532,2021-10-01,Beatriz Moraes,PA,5,boleto,1,-3.79,-52.48
65cce385ddadb93e4611d7c2,Pandeiro,instrumentos musicais,90.83,5.7248394217,2021-10-01,Pedro Gomes,RJ,2,cupom,1,-22.25,-42.66
65cce385ddadb93e4611d7c7,Bola de vôlei,esporte e lazer,56.47,3.5379621406,2022-10-01,Felipe Santos,SP,3,cartao_credito,10,-22.19,-48.79
65cce385ddadb93e4611d7c9,Pandeiro,instrumentos musicais,60.41,3.4997766711,2022-10-01,Thiago Silva,SP,5,cartao_credito,3,-22.19,-48.79
65cce385ddadb93e4611d7ca,Micro-ondas,eletrodomesticos,603.9,29.7402972914,2022-10-01,Mariana Ferreira,MG,2,cartao_credito,7,-18.1,-44.38
65cce385ddadb93e4611d7cc,Pandeiro,instrumentos musicais,57.68,0.0,2022-10-01,Thiago Silva,SP,5,cartao_credito,1,-22.19,-48.79
65cce385ddadb93e4611d7d4,Boneca bebê,brinquedos,70.98,4.3105759886,2022-10-01,Juliana Costa,ES,3,cartao_credito,6,-19.19,-40.34
65cce385ddadb93e4611d6cc,Impressora,eletronicos,322.04,14.7321002401,2021-01-01,João Souza,SP,3,cartao_credito,1,-22.19,-48.79
65cce385ddadb93e4611d6d1,Geladeira,eletrodomesticos,2322.94,121.2740057251,2022-01-01,Thiago Silva,RS,5,cartao_credito,10,-30.17,-53.5
65cce385ddadb93e4611d6d5,Iniciando em programação,livros,63.25,3.894137208,2022-01-01,Juliana Costa,RJ,5,cartao_credito,4,-22.25,-42.66
65cce385ddadb93e4611d6d8,Bateria,instrumentos musicais,1031.24,55.199204426,2023-01-01,Bruno Rodrigues,BA,5,boleto,1,-13.29,-41.71
65cce385ddadb93e4611d6d9,Boneca bebê,brinquedos,50.72,3.2317919389,2023-01-01,Isabella Pereira,SP,4,boleto,1,-22.19,-48.79
65cce385ddadb93e4611d6db,Pandeiro,instrumentos musicais,47.05,2.7883968633,2023-01-01,Bianca Santos,RS,5,cartao_credito,6,-30.17,-53.5
65cce385ddadb93e4611d6ea,Guitarra,instrumentos musicais,1158.33,62.2086923009,2022-02-01,Bruno Rodrigues,SP,4,cartao_credito,2,-22.19,-48.79
65cce385ddadb93e4611d6eb,Dashboards com Power BI,livros,57.63,9.3105595123,2022-02-01,Bianca Santos,SP,3,cartao_credito,1,-22.19,-48.79
65cce385ddadb93e4611d6ec,Copo térmico,esporte e lazer,50.31,0.0,2022-02-01,Beatriz Moraes,RJ,1,cartao_credito,2,-22.25,-42.66
65cce385ddadb93e4611d6f2,Poltrona,moveis,251.37,10.969135344,2022-02-01,Isabella Pereira,AL,4,boleto,1,-9.62,-36.82
65cce385ddadb93e4611d6f3,Dashboards com Power BI,livros,41.76,2.7546988942,2022-02-01,Juliana Costa,SP,5,cartao_credito,1,-22.19,-48.79
65cce385ddadb93e4611d6f5,Smartwatch,eletronicos,184.84,17.9198218199,2023-02-01,Lucas Oliveira,BA,4,cartao_credito,3,-13.29,-41.71
65cce385ddadb93e4611d6fa,TV Led UHD 4K,eletronicos,2404.01,125.5907393338,2023-02-01,Pedro Gomes,MG,5,cartao_credito,2,-18.1,-44.38
65cce385ddadb93e4611d6fc,Dashboards com Power BI,livros,40.98,0.0,2023-02-01,Beatriz Moraes,RJ,5,cartao_credito,1,-22.25,-42.66
65cce385ddadb93e4611d70c,Micro-ondas,eletrodomesticos,930.94,47.1541934231,2021-03-01,Thiago Silva,PE,5,cartao_credito,10,-8.38,-37.86
65cce385ddadb93e4611d70e,Celular ABXY,eletronicos,1100.5,59.2853264023,2022-03-01,Beatriz Moraes,SP,5,boleto,1,-22.19,-48.79
65cce385ddadb93e4611d710,Guarda roupas,moveis,663.54,36.0185209544,2022-03-01,Juliana Costa,RS,3,cartao_credito,10,-30.17,-53.5
65cce385ddadb93e4611d713,Sofá retrátil,moveis,890.4,44.9955603837,2022-03-01,Rafael Costa,RS,4,boleto,1,-30.17,-53.5
65cce385ddadb93e4611d716,Headset,eletronicos,219.88,11.9967253244,2022-03-01,Mariana Ferreira,CE,5,cartao_credito,4,-5.2,-39.53
65cce385ddadb93e4611d718,Lavadora de roupas,eletrodomesticos,1732.36,89.8273974282,2022-03-01,Bruno Rodrigues,RJ,5,cartao_credito,2,-22.25,-42.66
65cce385ddadb93e4611d71e,Cama box,moveis,834.98,44.9912775682,2023-03-01,Mariana Ferreira,SP,1,cartao_credito,3,-22.19,-48.79
65cce385ddadb93e4611d726,Lavadora de roupas,eletrodomesticos,1822.44,94.6238864312,2021-04-01,Thiago Silva,MS,3,cartao_credito,5,-20.51,-54.54
65cce385ddadb93e4611d727,Pandeiro,instrumentos musicais,58.75,6.292077079,2021-04-01,Juliana Costa,SP,3,cupom,1,-22.19,-48.79
65cce385ddadb93e4611d72a,Mesa de centro,moveis,217.42,19.3750120217,2021-04-01,Bruno Rodrigues,SP,5,cartao_debito,1,-22.19,-48.79
65cce385ddadb93e4611d733,Ciência de dados com python,livros,75.04,1.5800933158,2022-04-01,Bianca Santos,RO,2,cartao_credito,7,-10.83,-63.34
65cce385ddadb93e4611d73f,Headset,eletronicos,98.2,2.8132936411,2021-05-01,Felipe Santos,RJ,5,cartao_credito,4,-22.25,-42.66
65cce385ddadb93e4611d741,Micro-ondas,eletrodomesticos,1034.13,55.5954159446,2021-05-01,Mariana Ferreira,SP,4,cartao_credito,4,-22.19,-48.79
65cce385ddadb93e4611d746,Mesa de centro,moveis,282.19,12.6102076249,2022-05-01,Pedro Gomes,MG,5,cartao_credito,1,-18.1,-44.38
65cce385ddadb93e4611d74a,Cadeira de escritório,moveis,403.02,21.9907070783,2022-05-01,Juliana Costa,MG,1,boleto,1,-18.1,-44.38
65cce385ddadb93e4611d751,Guarda roupas,moveis,607.71,32.8898337881,2021-06-01,Juliana Costa,SP,5,boleto,1,-22.19,-48.79
65cce385ddadb93e4611d756,TV Led UHD 4K,eletronicos,2366.39,123.58758751,2021-06-01,Isabella Pereira,MG,3,boleto,1,-18.1,-44.38
65cce385ddadb93e4611d759,Cama king,moveis,695.31,34.6076047932,2021-06-01,João Souza,SP,1,boleto,1,-22.19,-48.79
65cce385ddadb93e4611d76c,Dashboards com Power BI,livros,46.87,0.0,2021-07-01,Beatriz Moraes,RS,5,cartao_credito,8,-30.17,-53.5
65cce385ddadb93e4611d774,Cadeira de escritório,moveis,496.37,27.3700570508,2021-07-01,Bianca Santos,SP,4,boleto,1,-22.19,-48.79
65cce385ddadb93e4611d778,Celular ABXY,eletronicos,1594.69,82.4968840951,2022-07-01,Isabella Pereira,RJ,5,cartao_credito,3,-22.25,-42.66
65cce385ddadb93e4611d779,Guitarra,instrumentos musicais,955.2,51.1446522815,2022-07-01,Lucas Oliveira,RS,3,cartao_credito,1,-30.17,-53.5
65cce385ddadb93e4611d77c,Xadrez de madeira,brinquedos,31.39,0.0,2022-07-01,João Souza,RS,2,cartao_credito,5,-30.17,-53.5
65cce385ddadb93e4611d77d,Headset,eletronicos,281.02,15.2465954871,2022-07-01,Mariana Ferreira,MS,5,boleto,1,-20.51,-54.54
65cce385ddadb93e4611d77e,Modelagem preditiva,livros,105.99,3.2280877057,2022-07-01,Thiago Silva,SP,1,cartao_credito,4,-22.19,-48.79
65cce385ddadb93e4611d78c,Geladeira,eletrodomesticos,2779.44,148.5279228476,2021-08-01,Bruno Rodrigues,RJ,5,cartao_credito,4,-22.25,-42.66
65cce385ddadb93e4611d791,TV Led UHD 4K,eletronicos,3158.33,175.973580586,2021-08-01,Bianca Santos,SP,5,cartao_credito,1,-22.19,-48.79
65cce385ddadb93e4611d798,Iniciando em programação,livros,41.11,0.0,2022-08-01,Thiago Silva,ES,1,cartao_credito,1,-19.19,-40.34
65cce385ddadb93e4611d7a1,Cômoda,moveis,323.0,17.7298828107,2022-08-01,Mariana Ferreira,SP,5,cartao_credito,12,-22.19,-48.79
65cce385ddadb93e4611d6cb,Xadrez de madeira,brinquedos,25.23,0.0,2021-01-01,Thiago Silva,BA,5,cartao_credito,2,-13.29,-41.71
65cce385ddadb93e4611d6d0,Violão,instrumentos musicais,316.84,17.1595536296,2022-01-01,Pedro Gomes,SP,5,cartao_credito,2,-22.19,-48.79
65cce385ddadb93e4611d6d2,Secadora de roupas,eletrodomesticos,1893.04,107.1782993366,2022-01-01,Beatriz Moraes,PR,4,cartao_credito,2,-24.89,-51.55
65cce385ddadb93e4611d6d4,Blocos de montar,brinquedos,36.84,0.0,2022-01-01,Pedro Gomes,SP,4,boleto,1,-22.19,-48.79
65cce385ddadb93e4611d6d6,Fogão,eletrodomesticos,607.49,33.2354300998,2022-01-01,Juliana Costa,MG,5,cartao_credito,3,-18.1,-44.38
65cce385ddadb93e4611d6d7,Bola de vôlei,esporte e lazer,75.11,1.5838206052,2022-01-01,Isabella Pereira,SP,5,cartao_credito,1,-22.19,-48.79
65cce385ddadb93e4611d6da,Sofá retrátil,moveis,888.09,51.7681594786,2023-01-01,Rafael Costa,SP,4,cartao_credito,20,-22.19,-48.79
65cce385ddadb93e4611d6dd,Xadrez de madeira,brinquedos,44.82,3.2749453383,2023-01-01,Bianca Santos,PR,5,cupom,1,-24.89,-51.55
65cce385ddadb93e4611d6e1,Micro-ondas,eletrodomesticos,1035.84,55.6864683002,2021-02-01,Felipe Santos,SP,2,cartao_credito,6,-22.19,-48.79
65cce385ddadb93e4611d6e2,Cama king,moveis,660.46,35.4506339784,2021-02-01,Juliana Costa,RJ,5,cartao_credito,3,-22.25,-42.66
65cce385ddadb93e4611d6e3,Ciência de dados com python,livros,86.13,5.2731755368,2021-02-01,Camila Ribeiro,RJ,4,cartao_credito,3,-22.25,-42.66
65cce385ddadb93e4611d6e5,Ciência de dados com python,livros,72.75,1.458157705,2021-02-01,Beatriz Moraes,PR,4,cartao_credito,2,-24.89,-51.55
65cce385ddadb93e4611d6e6,Cama box,moveis,819.22,43.9041263642,2021-02-01,Felipe Santos,SP,5,cartao_credito,4,-22.19,-48.79
65cce385ddadb93e4611d6e8,Iniciando em programação,livros,61.73,0.0,2021-02-01,Beatriz Moraes,SP,4,cartao_credito,1,-22.19,-48.79
65cce385ddadb93e4611d6f6,Bola de vôlei,esporte e lazer,55.1,3.2170351457,2023-02-01,Bianca Santos,SP,1,cartao_credito,4,-22.19,-48.79
65cce385ddadb93e4611d6f9,Lava louças,eletrodomesticos,1702.95,88.2614034053,2023-02-01,João Souza,PR,2,cartao_credito,10,-24.89,-51.55
65cce385ddadb93e4611d706,Geladeira,eletrodomesticos,2774.0,147.9902805969,2021-03-01,Bruno Rodrigues,RJ,5,cartao_credito,1,-22.25,-42.66
65cce385ddadb93e4611d707,Lavadora de roupas,eletrodomesticos,2034.43,108.8583816384,2021-03-01,Thiago Silva,RS,5,cartao_credito,2,-30.17,-53.5
65cce385ddadb93e4611d709,Xadrez de madeira,brinquedos,28.76,0.0,2021-03-01,Lucas Oliveira,SP,4,cartao_credito,5,-22.19,-48.79
65cce385ddadb93e4611d70a,Fogão,eletrodomesticos,1378.02,74.7745347061,2021-03-01,Beatriz Moraes,MS,5,boleto,1,-20.51,-54.54
65cce385ddadb93e4611d70b,Cubo mágico 8x8,brinquedos,14.52,3.9369626407,2021-03-01,Thiago Silva,DF,5,cartao_credito,5,-15.83,-47.86
65cce385ddadb93e4611d70d,Corda de pular,esporte e lazer,32.96,11.3359643772,2022-03-01,Juliana Costa,SP,1,cartao_credito,1,-22.19,-48.79
65cce385ddadb93e4611d70f,Bola de vôlei,esporte e lazer,54.42,3.1808271914,2022-03-01,Lucas Oliveira,SP,5,cartao_credito,1,-22.19,-48.79
65cce385ddadb93e4611d711,Lavadora de roupas,eletrodomesticos,2060.2,107.2838911531,2022-03-01,Mariana Ferreira,PB,4,cartao_credito,5,-7.28,-36.72
65cce385ddadb93e4611d712,Carrinho controle remoto,brinquedos,116.0,3.7610900916,2022-03-01,Thiago Silva,SP,5,boleto,1,-22.19,-48.79
65cce385ddadb93e4611d71c,Dinossauro Rex,brinquedos,28.71,2.2157332793,2023-03-01,Bruno Rodrigues,RJ,5,cartao_credito,7,-22.25,-42.66
65cce385ddadb93e4611d729,Panela de pressão,utilidades domesticas,94.58,2.6205395316,2021-04-01,Juliana Costa,DF,5,cartao_credito,10,-15.83,-47.86
65cce385ddadb93e4611d72d,Dashboards com Power BI,livros,40.85,0.0,2021-04-01,Mariana Ferreira,SP,5,cartao_credito,1,-22.19,-48.79
65cce385ddadb93e4611d731,Impressora,eletronicos,363.8,20.0582676933,2022-04-01,Isabella Pereira,RJ,5,cartao_credito,5,-22.25,-42.66
65cce385ddadb93e4611d734,Micro-ondas,eletrodomesticos,677.31,33.6491589445,2022-04-01,Camila Ribeiro,SP,5,boleto,1,-22.19,-48.79
65cce385ddadb93e4611d73b,Jogo de panelas,utilidades domesticas,268.49,14.8273892988,2021-05-01,Isabella Pereira,BA,5,cupom,1,-13.29,-41.71
65cce385ddadb93e4611d73c,Kit banquetas,moveis,394.53,21.533800584,2021-05-01,Felipe Santos,SC,5,cartao_credito,3,-27.45,-50.95
65cce385ddadb93e4611d743,Mesa de jantar,moveis,360.0,19.4520428834,2022-05-01,Thiago Silva,SP,2,boleto,1,-22.19,-48.79
